Analysis	Identifier 2	Identifier 1	d 15N/14N Calculated	N %	d 13C/12C Calculated	C %	d 34S/32S Calculated	S %	Comment 1	Comment 2
10140	XA52 B10	BH-91395 A	15.27	14.17	-19.98	51.17	50.45	1.69		
10141	XA52 B11	BH-91395 A	14.57	14.47	-20.17	51.96	53.06	1.57		
10142	XA52 B12	BH-91395 A	15.18	14.20	-20.10	51.14	55.54	1.67		
10143	XA52 C1	BH-91395 B	14.43	12.67	-18.98	52.52	64.02	1.52		
10144	XA52 C2	BH-91395 B	14.54	13.37	-21.08	52.69	54.22	1.40		
10145	XA52 C3	BH-91395 B	14.91	13.22	-21.04	53.01	62.33	1.66		
10146	XA52 C4	BH-91437 A	14.97	14.16	-19.76	50.54	45.66	1.28		
10147	XA52 C5	BH-91437 A	15.45	14.18	-19.78	51.40	47.86	1.34		
10148	XA52 C6	BH-91437 A	15.36	14.42	-19.73	51.74	42.87	1.29		
10149	XA52 C7	BH-91437 B	15.24	14.02	-20.65	53.68	47.52	1.30		
10150	XA52 C8	BH-91437 B	15.29	13.66	-18.96	53.71	45.87	1.31		
10151	XA52 C9	BH-91437 B	15.28	13.65	-20.85	54.14	43.32	1.25		
10155	XA52 C10	BH-91413 A	15.56	13.69	-18.66	55.12	31.46	1.27		
10156	XA52 C11	BH-91413 A	15.37	12.64	-20.13	52.57	37.15	1.28		
10157	XA52 C12	BH-91413 A	15.67	12.69	-20.04	52.41	37.24	1.27		
10158	XA52 D1	BH-91413 B	13.09	15.77	-20.18	53.66	40.46	1.28		
10159	XA52 D2	BH-91413 B	15.52	12.92	-20.15	54.07	35.78	1.29		
10160	XA52 D3	BH-91413 B	13.63	14.97	-20.21	52.69	40.01	1.27		
10161	XA52 D4	BH-91415 A	15.49	14.59	-18.03	50.41	33.66	1.36		
10162	XA52 D5	BH-91415 A	13.3	17.57	-16.41	48.90	29.15	1.29		
10163	XA52 D6	BH-91415 A	13.62	16.62	-18.03	49.43	30.44	1.32		
10164	XA52 D7	BH-91415 B	13.79	17.12	-16.99	50.93	28.46	1.31		
10165	XA52 D8	BH-91415 B	13.94	16.94	-18.52	51.23	28.43	1.33		
10166	XA52 D9	BH-91415 B	15.52	14.83	-18.43	50.60	32.11	1.35		
10170	XA52 D10	BH-91403 A	15.06	13.01	-20.48	51.86	36.96	1.40		
10171	XA52 D11	BH-91403 A	15.34	13.20	-20.49	52.01	33.95	1.34		
10172	XA52 D12	BH-91403 A	15.36	13.54	-20.47	52.66	35.72	1.29		
10173	XA52 E1	BH-91403 B	15.36	14.81	-17.8	50.66	33.39	1.32		
10174	XA52 E2	BH-91403 B	15.49	14.58	-17.85	48.89	33.7	1.33		
10175	XA52 E3	BH-91403 B	15.33	15.16	-19.58	51.45	31.85	1.37		
10176	XA52 E4	BH-91424 A	14.99	15.20	-19.54	50.39	33.85	1.31		
10177	XA52 E5	BH-91424 A	14.96	14.54	-19.5	49.41	32.59	1.36		
10178	XA52 E6	BH-91424 A	14.93	15.72	-19.52	51.70	31.21	1.37		
10179	XA52 E7	BH-91424 B	15.02	14.70	-19.99	51.81	31.7	1.38		
10180	XA52 E8	BH-91424 B	14.84	15.41	-19.87	52.21	30.65	1.38		
10181	XA52 E9	BH-91424 B	15.07	14.91	-18.31	51.52	31.73	1.37		
10202	XA52 E10	BH-91423 A	18.51	15.64	-17.74	50.95	28.34	1.45		
10203	XA52 E11	BH-91423 A	18.5	15.61	-17.66	50.77	27.97	1.37		
10204	XA52 E12	BH-91423 A	18.25	15.75	-17.78	50.82	28.72	1.36		
10205	XA52 F1	BH-91423 B	18.49	16.05	-17.96	52.13	27.44	1.43		
10206	XA52 F2	BH-91423 B	18.41	15.49	-18.02	50.53	26.54	1.42		
10207	XA52 F3	BH-91423 B	18.53	13.51	-20.44	58.16	30.61	1.25		
10208	XA52 F4	BH-91427 A	17.35	15.78	-18.58	49.63	28.69	1.30		
10209	XA52 F5	BH-91427 A	17.42	15.98	-18.64	51.13	30.89	1.34		
10210	XA52 F6	BH-91427 A	18.41	15.82	-18.46	52.78	28.63	1.31		
10211	XA52 F7	BH-91427 B	18.46	16.21	-18.85	53.53	30.07	1.42		
10212	XA52 F8	BH-91427 B	18.65	15.98	-18.87	52.70	28.32	1.41		
10213	XA52 F9	BH-91427 B	18.61	16.47	-18.82	54.20	30.78	1.35		
10217	XA52 A1	BH-91408	17.27	14.54	-18.28	45.71	30.74	1.59		
10218	XA52 A2	BH-91408	17.32	15.17	-18.92	47.01	42.65	1.65		
10219	XA52 A3	BH-91408	17.26	15.51	-18.89	48.35	34.05	1.72		
10220	XA52 A4	BH-91442	17.51	13.97	-19.5	44.22	48.27	1.78		
10221	XA52 A5	BH-91442	17.71	15.52	-19.38	49.86	32.05	1.55		
10222	XA52 A6	BH-91442	17.54	13.70	-19.39	43.73	41.56	1.62		
10223	XA52 A7	BH-91410	17.81	15.42	-19.32	48.35	39.81	1.69		
10224	XA52 A8	BH-91410	18.18	15.36	-19.26	48.19	35.99	1.64		
10225	XA52 A9	BH-91410	18.17	15.22	-19.43	49.13	31.1	1.49		
10226	XA52 A10	BH-91430	17.5	15.37	-17.72	48.24	32.87	1.67		
10227	XA52 A11	BH-91430	17.79	15.55	-18.1	48.89	33.28	1.57		
10228	XA52 A12	BH-91430	17.68	15.68	-18.11	49.32	27.99	1.50		
10232	XA52 B1	BH-01882	17.66	15.32	-16.74	47.68	30.05	1.80		
10233	XA52 B2	BH-01882	17.92	14.04	-16.84	43.60	34.99	1.78		
10234	XA52 B3	BH-01882	17.93	15.31	-16.75	48.00	28.09	1.76		
10235	XA52 B4	BH-01883	19.61	15.25	-18.75	47.55	35.33	1.88		
10236	XA52 B5	BH-01883	19.34	15.32	-18.87	49.26	32.01	1.78		
10237	XA52 B6	BH-01883	19.45	15.34	-18.73	48.03	33.99	1.80		
10238	XA52 B7	BH-01890	20.22	14.85	-18.82	46.82	27.84	1.78		
10239	XA52 B8	BH-01890	20.25	14.72	-18.79	45.87	29.75	1.80		
10240	XA52 B9	BH-01890	20.27	14.60	-18.87	46.06	29.18	1.86		
10241	XA52 F10	BH-01888	19.85	15.75	-18.3	51.14	22.89	1.53		
10242	XA52 F11	BH-01888	19.84	15.73	-18.28	50.93	21.73	1.53		
10243	XA52 F12	BH-01888	20.02	15.61	-18.3	50.44	23.08	1.55		
10955	 	BH-01886	16.13	15.08	-17.27	46.06	9.57	1.57		
10956	 	BH-01886	16.11	15.13	-17.35	45.79	10.17	1.54		
10957	 	BH-01886	16.01	14.27	-17.30	43.18	10.52	1.45		
10958	 	BH-01877	10.99	14.92	-26.87	44.89	5.04	1.60		
10959	 	BH-01877	10.98	15.07	-26.82	45.10	5.69	1.64		
10960	 	BH-01877	10.92	15.42	-26.82	46.40	4.28	1.66		
10961	 	BH-01880	16.06	14.40	-17.86	43.79	11.97	1.54		
10962	 	BH-01880	16.02	15.17	-17.95	46.01	12.44	1.55		
10963	 	BH-01880	16.05	15.34	-17.83	46.53	13.26	1.55		
10964	 	BH-01885	17.07	15.00	-19.25	46.18	13.63	1.53		
10965	 	BH-01885	16.94	15.14	-19.29	45.87	14	1.57		
10966	 	BH-01885	16.93	15.00	-19.3	46.19	13.71	1.49		
10970	 	BH-01892	16.09	16.10	-16.99	49.03	9.44	1.64		
10971	 	BH-01893	16.15	14.80	-16.91	45.46	9.99	1.58		
10972	 	BH-01894	16.06	15.03	-17.17	45.56	9.98	1.47		
10973	 	BH-01881	16.21	15.16	-17.18	45.02	13.09	1.56		
10974	 	BH-01881	16.18	15.34	-17.23	45.55	12.38	1.48		
10975	 	BH-01881	16.13	15.22	-17.19	45.23	13.09	1.61		
10976	 	BH-01884	15.61	15.26	-16.96	46.77	10.67	1.51		
10977	 	BH-01884	15.6	15.33	-17.01	46.87	10.8	1.48		
10978	 	BH-01884	15.45	15.37	-16.97	46.84	10.38	1.48		
10979	 	BH-01876	11.84	15.32	-27.29	45.55	4.09	1.69		
10980	 	BH-01876	11.86	15.33	-27.39	45.90	3.41	1.64		
10981	 	BH-01876	11.74	15.24	-27.33	45.48	3.59	1.66		
10985	 	BH-01887	17.21	15.28	-18.82	45.80	11.97	1.59		
10986	 	BH-01888	17.23	15.23	-18.76	45.93	12.45	1.60		
10987	 	BH-01889	17.1	15.24	-18.83	45.60	12.04	1.61		
10988	 	BH-01891	17.26	14.59	-19.35	44.26	12.64	1.60		
10989	 	BH-01891	17.14	14.93	-19.41	45.23	12.87	1.61		
10990	 	BH-01891	17.14	14.55	-19.33	44.13	12.7	1.65		
10991	 	BH-01889	16.04	15.06	-17.15	45.30	12.52	1.54		
10992	 	BH-01889	16.01	14.92	-17.15	44.70	12.19	1.51		
10993	 	BH-01889	16.02	14.99	-17.18	45.27	12.8	1.56		
10994	 	BH-01850	16.46	14.70	-19.13	43.88	9.8	1.54		
10995	 	BH-01850	16.45	14.71	-19.09	44.21	9.86	1.54		
10996	 	BH-01850	16.54	14.66	-19.12	43.76	9.73	1.55		
11018	 	BH-01848	15.74	14.35	-16.89	45.35	11.2	1.54		
11019	 	BH-01848	15.73	14.27	-16.91	45.05	11.66	1.53		
11020	 	BH-01848	15.62	14.40	-16.96	45.21	11.48	1.45		
11021	 	BH-01859	15.39	14.41	-16.44	44.55	10.4	1.52		
11022	 	BH-01859	15.41	14.37	-16.44	44.71	10.21	1.48		
11023	 	BH-01859	15.37	14.51	-16.49	45.20	10.29	1.50		
11024	 	BH-01856	15.79	14.23	-16.95	44.60	11.17	1.44		
11025	 	BH-01856	15.97	14.12	-16.96	44.01	11.5	1.50		
11026	 	BH-01856	15.79	14.19	-16.96	44.08	11.61	1.47		
11027	 	BH-01846	16.98	14.48	-18.89	44.26	8.64	1.51		
11028	 	BH-01846	16.99	14.46	-18.87	44.53	8.74	1.53		
11029	 	BH-01846	16.93	14.48	-18.86	44.36	8.69	1.53		
11033	 	BH-00997	16.97	14.43	-21.84	45.06	10.29	1.57		
11034	 	BH-00997	17.03	14.31	-21.8	44.51	10.64	1.55		
11035	 	BH-00997	17.11	14.17	-21.77	44.70	10.66	1.63		
11036	 	BH-00695	13.82	14.45	-16.49	45.96	11.46	1.48		
11037	 	BH-00695	13.98	14.26	-16.45	45.45	11.36	1.48		
11038	 	BH-00695	13.91	14.53	-16.49	45.75	11.86	1.51		
11039	 	BH-00693	13.99	14.19	-16.57	45.16	11.82	1.46		
11040	 	BH-00693	13.9	14.38	-16.48	46.05	10.74	1.46		
11041	 	BH-00693	14	14.29	-16.42	45.67	11.22	1.48		
11042	 	BH-00692	14.27	14.49	-16.54	45.46	12.04	1.50		
11043	 	BH-00692	14.25	14.38	-16.58	45.00	11.81	1.52		
11044	 	BH-00692	14.27	14.38	-16.48	45.32	11.96	1.56		
11048	 	BH-01558	16.7	14.60	-18.46	46.12	11.4	1.55		
11049	 	BH-01558	16.52	14.35	-18.58	45.16	11.21	1.51		
11050	 	BH-01558	16.58	14.59	-18.55	45.60	11.75	1.58		
11051	 	BH-00694	14.26	14.39	-16.1	45.51	11.49	1.56		
11052	 	BH-00694	14.29	14.34	-16.13	45.60	11.27	1.46		
11053	 	BH-00694	14.5	14.33	-16.15	46.09	11	1.45		
11054	 	BH-00690	14.39	14.32	-17.47	46.33	11.18	1.47		
11055	 	BH-00690	14.33	14.42	-17.34	46.55	11.51	1.43		
11056	 	BH-00690	14.32	14.39	-17.41	46.11	11.5	1.42		
11057	 	BH-01551	16.17	14.68	-18.72	45.74	12.67	1.53		
11058	 	BH-01551	16.26	14.42	-18.71	44.61	13.11	1.59		
11059	 	BH-01551	16.28	14.48	-18.78	45.31	13.23	1.57		
11079	0	BH-00700	16.2	15.02	-19.17	44.82	13.05	1.47		
11080	0	BH-00700	16.2	15.48	-19.19	45.67	13.57	1.46		
