"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-00355"	2	2017	"Peene"	552	800	"m"	2019-07-09	286.1	1	2018	495.6	495.6	840.5	3
"BH-00355"	2	2017	"Peene"	552	800	"m"	2019-07-09	286.1	2	2019	237.5	733.1	840.5	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	1	2013	460.5	460.5	1595.6	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	2	2014	228.8	689.3	1595.6	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	3	2015	238	927.3	1595.6	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	4	2016	233.8	1161.1	1595.6	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	5	2017	135.4	1296.5	1595.6	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	6	2018	123.6	1420.1	1595.6	3
"BH-00356"	7	2012	"Peene"	815	3000	"f"	2019-07-09	279.1	7	2019	127.4	1547.5	1595.6	3
"BH-00385"	5	2014	"Barthe"	765	3260	"f"	2019-07-10	121.3	1	2015	432.7	432.7	1356.3	3
"BH-00385"	5	2014	"Barthe"	765	3260	"f"	2019-07-10	121.3	2	2016	239.5	672.2	1356.3	3
"BH-00385"	5	2014	"Barthe"	765	3260	"f"	2019-07-10	121.3	3	2017	273.8	946	1356.3	3
"BH-00385"	5	2014	"Barthe"	765	3260	"f"	2019-07-10	121.3	4	2018	184.6	1130.6	1356.3	3
"BH-00385"	5	2014	"Barthe"	765	3260	"f"	2019-07-10	121.3	5	2019	131.5	1262.1	1356.3	3
"BH-00391"	9	2010	"Barthe"	903	5220	"f"	2019-07-11	185.1	1	2011	458.7	458.7	1642.8	3
