"ID"	"waterbody"	"capt"	"clust"	"age"	"cohort"	"weight"	"TL"	"sex"	"lifeyear"	"year"	"inc"	"rad"	"d18O_mean"	"d18O_max"	"d18O_min"	"res_mean"	"res_max"	"res_min"	"Sr_mean"	"Sr_max"	"Sr_min"	"type"	"turbidity"	"SAL"	"WT"	"P"
"BH-00670"	"WRB"	"KB"	"IntS|Tcold"	4	2016	NA	680	"f"	"1"	2017	514.1	514.1	-5.95342934571428	-5.27968811428571	-6.64601648571429	0.181872714120568	0.794705880752239	-0.358227716927908	0.00425345745745746	0.00497876876876877	0.0036521021021021	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-00670"	"WRB"	"KB"	"IntS|Tcold"	4	2016	NA	680	"f"	"2"	2018	279.5	793.6	-5.1286437	-4.89861275714286	-5.40717514285714	0.704235515012911	0.977275838555208	0.330829843916953	0.00454698948948949	0.00555894894894895	0.0036757957957958	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-00670"	"WRB"	"KB"	"IntS|Tcold"	4	2016	NA	680	"f"	"3"	2019	295.6	1089.2	-4.83331029821429	-4.17387671428571	-5.54990518571429	0.826283360437596	1.53598385851965	0.181762342342412	0.00496582582582583	0.00545912912912913	0.00446771771771772	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-00681"	"NRB"	"WB"	"LowS|Tshift"	2	2018	NA	630	"m"	"1"	2019	477	477	-6.82775478785714	-5.39886077142857	-8.21881841428571	-0.342313876767213	1.09993674888576	-1.98943277256383	0.00369292831541219	0.00468469534050179	0.00292200716845878	"Coast"	1.76470588235294	8.93888888888889	11.5088888888889	1.36544444444444
"BH-00681"	"NRB"	"WB"	"LowS|Tshift"	2	2018	NA	630	"m"	"2"	2020	123.7	600.7	-6.05708184285714	-5.50140468571429	-6.52130091428571	0.429283947757474	0.735952993915485	0.0853396444215427	0.00371781959378734	0.00509666666666667	0.00318645161290323	"Coast"	2	9.44117647058824	10.5235294117647	1.7575
"BH-00685"	"NRB"	"WB"	"LowS|Tshift"	2	2018	NA	720	"m"	"1"	2019	569.9	569.9	-6.59252736285714	-5.80210778571429	-7.25712278571429	0.261562255711436	1.02896233711673	-0.466472438762707	0.00283496825396826	0.00355619047619047	0.00229634920634921	"Coast"	1.76470588235294	8.93888888888889	11.5088888888889	1.36544444444444
"BH-00685"	"NRB"	"WB"	"LowS|Tshift"	2	2018	NA	720	"m"	"2"	2020	292.7	862.6	-5.84132390428571	-5.19793012857143	-7.097764	0.648990783299042	1.23197880057641	-0.418362646581893	0.00334357864357864	0.00439555555555555	0.00271190476190476	"Coast"	2	9.44117647058824	10.5235294117647	1.7575
"BH-00689"	"NRB"	"WB"	"HighS|Tconstant"	1	2019	NA	600	"m"	"1"	2020	559.9	559.9	-6.9510499875	-6.00719561428571	-7.81695712857143	-0.856503548631606	0.0524250618560655	-2.16406719254023	0.00455131944444444	0.00633111111111111	0.00333944444444444	"Coast"	2	9.44117647058824	10.5235294117647	1.7575
"BH-00696"	"NRB"	"WB"	"HighS|Tconstant"	3	2017	NA	790	"f"	"1"	2018	581.4	581.4	-6.27637338928571	-5.32818861428571	-7.3208663	0.0376889794833103	1.01081576759801	-0.928483199271917	0.00380396666666667	0.00573653968253968	0.00275634920634921	"Coast"	1.9047619047619	8.24695121951219	13.344	1.8807
"BH-00696"	"NRB"	"WB"	"HighS|Tconstant"	3	2017	NA	790	"f"	"2"	2019	149.9	731.3	-5.44934088367347	-5.31987424285714	-5.70649251428571	0.05258358491811	0.422918745448353	-0.178064726973204	0.00493840362811791	0.005718	0.00433984126984127	"Coast"	1.76470588235294	8.93888888888889	11.5088888888889	1.36544444444444
