"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-00355"	1	"m"	800	552	0.4956	"Tributary"	2	1	"FW-resident"	2
"BH-00355"	1	"m"	800	552	0.7331	"Tributary"	2	2	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	0.4605	"Tributary"	7	1	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	0.6893	"Tributary"	7	2	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	0.9273	"Tributary"	7	3	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	1.1611	"Tributary"	7	4	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	1.2965	"Tributary"	7	5	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	1.4201	"Tributary"	7	6	"FW-resident"	2
"BH-00356"	2	"f"	3000	815	1.5475	"Tributary"	7	7	"FW-resident"	2
"BH-00385"	3	"f"	3260	765	0.4327	"Tributary"	5	1	"Anadromous"	3
"BH-00385"	3	"f"	3260	765	0.6722	"Tributary"	5	2	"Anadromous"	3
"BH-00385"	3	"f"	3260	765	0.946	"Tributary"	5	3	"Anadromous"	3
"BH-00385"	3	"f"	3260	765	1.1306	"Tributary"	5	4	"Anadromous"	3
"BH-00385"	3	"f"	3260	765	1.2621	"Tributary"	5	5	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	0.4587	"Tributary"	9	1	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	0.6663	"Tributary"	9	2	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	0.8502	"Tributary"	9	3	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	1.0467	"Tributary"	9	4	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	1.2028	"Tributary"	9	5	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	1.3166	"Tributary"	9	6	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	1.4086	"Tributary"	9	7	"Anadromous"	3
"BH-00391"	4	"f"	5220	903	1.5143	"Tributary"	9	8	"Anadromous"	3
