"ID"	"waterbody"	"TL_mm"	"clust"	"ecotype"	"sex"	"lifeyear"	"inc_um"	"res_mean"	"Sr_mean"
"BH-00355"	"Tributary"	552	"FW low saline|shift"	"FW_resident"	"m"	1	495.6	-1.22165866159505	-1.75698580649189
"BH-00355"	"Tributary"	552	"FW low saline|shift"	"FW_resident"	"m"	2	237.5	0.28962963992306	-2.00637987925961
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	1	460.5	-0.194350313146552	-1.85601264665795
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	2	228.8	-0.0796663401306476	-2.03236306968928
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	3	238	0.406071202450299	-2.04890558735689
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	4	233.8	1.36975785956959	-1.92255690898496
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	5	135.4	0.960066230979061	-1.72906290566784
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	6	123.6	1.20892359705955	-1.84303677617832
"BH-00356"	"Tributary"	815	"FW low saline|cold"	"FW_resident"	"f"	7	127.4	0.331478457153276	-1.78963094162598
"BH-00385"	"Tributary"	765	"FW int saline|const"	"Anadromous"	"f"	1	432.7	-0.619261504213681	-1.47874763440546
"BH-00385"	"Tributary"	765	"FW int saline|const"	"Anadromous"	"f"	2	239.5	-0.575469968970373	-1.1760381212894
"BH-00385"	"Tributary"	765	"FW int saline|const"	"Anadromous"	"f"	3	273.8	-0.0798688796476757	-1.0203719757808
"BH-00385"	"Tributary"	765	"FW int saline|const"	"Anadromous"	"f"	4	184.6	-1.31853555112355	-0.978560704073956
"BH-00385"	"Tributary"	765	"FW int saline|const"	"Anadromous"	"f"	5	131.5	-0.195861527580351	-1.16322939558856
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	1	458.7	-0.259875432738603	-1.60964674642239
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	2	207.6	-0.353191428763821	-1.66578223054304
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	3	183.9	-0.589220365109867	-1.12838666916619
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	4	196.5	-1.13058627746528	-1.14009373513721
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	5	156.1	-0.457918011394185	-1.19201813030621
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	6	113.8	-0.24179157753958	-1.19261288951902
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	7	92	-0.156308252017782	-1.12189485292184
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	8	105.7	0.507222406004573	-1.13760203556396
"BH-00391"	"Tributary"	903	"FW int saline|const"	"Anadromous"	"f"	9	80.7	1.4907518711749	-0.977991306457354
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	1	565	0.752863296699826	-1.51827873873216
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	2	189.1	-0.389268813703164	-1.28731306884085
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	3	229.4	-0.878208717101811	-1.22110885297964
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	4	215.7	-0.303194468115951	-1.08551541440519
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	5	140.3	0.316735942788237	-0.967932878593721
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	6	132.3	0.739289923318231	-0.506925488825677
"BH-00392"	"Tributary"	930	"FW int saline|const"	"Anadromous"	"f"	7	110	0.5552998683269	-0.679535399681458
"BH-00398"	"Tributary"	761	"FW int saline|const"	"Anadromous"	"f"	1	431	-0.627144100470166	-1.71019723531962
"BH-00398"	"Tributary"	761	"FW int saline|const"	"Anadromous"	"f"	2	300.5	-0.588066650999315	-1.57025636487594
"BH-00398"	"Tributary"	761	"FW int saline|const"	"Anadromous"	"f"	3	252.5	-0.0409519028852609	-1.37807697138686
"BH-00398"	"Tributary"	761	"FW int saline|const"	"Anadromous"	"f"	4	103.8	0.450372995702125	-1.34667301855382
"BH-00398"	"Tributary"	761	"FW int saline|const"	"Anadromous"	"f"	5	131.6	-0.04151552277673	-1.23376497916979
"BH-00398"	"Tributary"	761	"FW int saline|const"	"Anadromous"	"f"	6	132.4	0.795503327971666	-1.04012712310635
"BH-00405"	"Tributary"	466	"FW low saline|shift"	"FW_resident"	"f"	1	367.2	-1.44781703201125	-1.30179202187766
"BH-00405"	"Tributary"	466	"FW low saline|shift"	"FW_resident"	"f"	2	295.9	0.218525782550191	-1.73663304671798
"BH-00411"	"Tributary"	677	"FW int saline|const"	"Anadromous"	"f"	1	397.9	-0.659768215674255	-1.47069562072716
"BH-00411"	"Tributary"	677	"FW int saline|const"	"Anadromous"	"f"	2	388.7	0.109087161920297	-1.12225402464144
"BH-00411"	"Tributary"	677	"FW int saline|const"	"Anadromous"	"f"	3	214.7	0.567204742234983	-0.986534653254376
"BH-00418"	"Tributary"	758	"FW low saline|cold"	"FW_resident"	"f"	1	386.8	0.476356273761451	-2.10690143772918
"BH-00418"	"Tributary"	758	"FW low saline|cold"	"FW_resident"	"f"	2	261.4	0.780100007021529	-2.05007885917627
"BH-00418"	"Tributary"	758	"FW low saline|cold"	"FW_resident"	"f"	3	300.8	1.40210147230224	-1.97552299934949
"BH-00418"	"Tributary"	758	"FW low saline|cold"	"FW_resident"	"f"	4	234.6	1.15825642717584	-1.79638375271685
"BH-00418"	"Tributary"	758	"FW low saline|cold"	"FW_resident"	"f"	5	195.1	2.0577754928308	-1.8461976684522
"BH-00418"	"Tributary"	758	"FW low saline|cold"	"FW_resident"	"f"	6	174.3	1.62868618685643	-1.89182933501556
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	1	384.7	0.859536221552351	-1.99504221179952
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	2	195.8	1.32169620568813	-1.94255587194217
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	3	209.6	0.723838133328798	-1.87866377037288
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	4	190.7	0.635907042005183	-1.91482626431173
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	5	155.8	0.911624293701755	-1.77265545616608
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	6	150.9	0.850945775891785	-1.85686271917429
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	7	162.6	1.10180743613453	-1.81001879033582
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	8	124.7	1.96983007362867	-1.81362741735265
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	9	112.8	1.71040621536347	-1.75815820035394
"BH-00419"	"Tributary"	958	"FW low saline|cold"	"FW_resident"	"f"	10	128.5	1.90631693353379	-1.82818405190321
"BH-00424"	"Tributary"	425	"FW low saline|cold"	"FW_resident"	"m"	1	394.1	1.34453144320148	-1.94320041551375
"BH-00424"	"Tributary"	425	"FW low saline|cold"	"FW_resident"	"m"	2	266.7	1.35310827247048	-2.01074629931423
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	1	512.9	-0.0896930215406759	0.295145342293942
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	1	300.9	-0.0896930215406759	0.295145342293942
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	2	260.9	0.773780429491183	0.495399881467031
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	2	171.3	0.773780429491183	0.495399881467031
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	3	229.3	0.344894795943199	0.781139999645432
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	3	153.9	0.344894795943199	0.781139999645432
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	4	217	1.39975776875203	0.802624244730526
"BH-00670"	"WRB"	680	"BW int saline|cold"	"BW-resident"	"f"	4	247.4	1.39975776875203	0.802624244730526
"BH-00681"	"NRB"	630	"BW Low saline|shift"	"Trans-habitat"	"m"	1	584.7	-0.994087719264498	-0.0872609806422685
"BH-00681"	"NRB"	630	"BW Low saline|shift"	"Trans-habitat"	"m"	2	272.2	0.628437568912206	-0.070279558049518
"BH-00685"	"NRB"	720	"BW Low saline|shift"	"Trans-habitat"	"m"	1	563.4	0.319125808723942	-0.672581756518005
"BH-00685"	"NRB"	720	"BW Low saline|shift"	"Trans-habitat"	"m"	2	211.5	0.376399787127488	-0.325595642311029
"BH-00685"	"NRB"	720	"BW Low saline|shift"	"Trans-habitat"	"m"	3	270.5	0.360066466801912	0.284989739056868
"BH-00689"	"NRB"	600	"BW high saline|warm"	"BW-resident"	"m"	1	561	-1.63834228978006	0.498353879802889
"BH-00689"	"NRB"	600	"BW high saline|warm"	"BW-resident"	"m"	2	316.1	-0.0264695521321184	0.187252455967682
"BH-00696"	"NRB"	790	"BW int saline|cold"	"BW-resident"	"f"	1	499.4	-0.223316728986517	-0.0115079743789552
"BH-00696"	"NRB"	790	"BW int saline|cold"	"BW-resident"	"f"	2	203.5	0.295898613677729	0.762431923640584
"BH-00696"	"NRB"	790	"BW int saline|cold"	"BW-resident"	"f"	3	184.2	-0.837490185099599	1.35148097200597
"BH-00696"	"NRB"	790	"BW int saline|cold"	"BW-resident"	"f"	4	155.1	-0.251778951936385	1.50033354264473
"BH-00729"	"WRB"	770	"BW high saline|cold"	"BW-resident"	"f"	1	461	-0.464401239300042	0.260304946554307
"BH-00729"	"WRB"	770	"BW high saline|cold"	"BW-resident"	"f"	2	347.4	-0.113790060461388	0.976749387294094
"BH-00729"	"WRB"	770	"BW high saline|cold"	"BW-resident"	"f"	3	221.9	0.0155174623672174	1.03759958880115
"BH-00729"	"WRB"	770	"BW high saline|cold"	"BW-resident"	"f"	4	205.3	0.446480571255113	0.941088701909197
"BH-00730"	"WRB"	758	"BW high saline|warm"	"BW-resident"	"m"	1	491.2	-1.09177933693604	0.216733680214096
"BH-00730"	"WRB"	758	"BW high saline|warm"	"BW-resident"	"m"	2	393.6	-2.21788755102825	1.24012871066275
"BH-00730"	"WRB"	758	"BW high saline|warm"	"BW-resident"	"m"	3	146.7	-2.23403280286624	1.75097679239964
"BH-00730"	"WRB"	758	"BW high saline|warm"	"BW-resident"	"m"	4	147.6	-2.5212451094203	2.03223120191335
"BH-00730"	"WRB"	758	"BW high saline|warm"	"BW-resident"	"m"	5	123.8	-1.12141964824602	1.79304061089186
