Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
A_BH-00729	3	4	2015	151.4	core			846	3079
A_BH-00729	3	4	2015	151.4	1	2016	461.0	1797	3025
A_BH-00729	3	4	2015	151.4	2	2017	347.4	2514	2984
A_BH-00729	3	4	2015	151.4	3	2018	221.9	2971	2958
A_BH-00729	3	4	2015	151.4	4	2019	205.3	3395	2934
A_BH-00729	3	4	2015	151.4	edge		100.0	3601	2922
D_BH-01570_A	3	10	2010	93.5	core			924	2822
D_BH-01570_A	3	10	2010	93.5	1	2011	423.1	1773	3031
D_BH-01570_A	3	10	2010	93.5	2	2012	188.3	2151	3124
D_BH-01570_A	3	10	2010	93.5	3	2013	179.8	2511	3213
D_BH-01570_A	3	10	2010	93.5	4	2014	209.4	2931	3316
D_BH-01570_A	3	10	2010	93.5	5	2015	150.0	3232	3390
D_BH-01570_A	3	10	2010	93.5	6	2016	129.6	3492	3454
D_BH-01570_A	3	10	2010	93.5	7	2017	144.4	3782	3525
D_BH-01570_A	3	10	2010	93.5	8	2018	143.0	4069	3596
D_BH-01570_A	3	10	2010	93.5	9	2019	140.9	4352	3665
D_BH-01570_A	3	10	2010	93.5	10	2020	128.8	4610	3729
D_BH-01570_A	3	10	2010	93.5	edge		-0.0	4610	3729
F_BH-01741_A	3	6	2014	120.1	core			1322	2948
F_BH-01741_A	3	6	2014	120.1	1	2015	483.0	2318	3010
F_BH-01741_A	3	6	2014	120.1	2	2016	227.2	2786	3039
F_BH-01741_A	3	6	2014	120.1	3	2017	180.4	3158	3062
F_BH-01741_A	3	6	2014	120.1	4	2018	162.9	3494	3082
F_BH-01741_A	3	6	2014	120.1	5	2019	106.5	3714	3096
F_BH-01741_A	3	6	2014	120.1	6	2020	122.1	3966	3111
F_BH-01741_A	3	6	2014	120.1	edge		137.8	4250	3129
H_BH-01555_A	3	5	2015	191.7	core			405	3072
H_BH-01555_A	3	5	2015	191.7	1	2016	424.0	1275	2973
H_BH-01555_A	3	5	2015	191.7	2	2017	458.0	2216	2867
H_BH-01555_A	3	5	2015	191.7	3	2018	250.7	2730	2808
H_BH-01555_A	3	5	2015	191.7	4	2019	205.9	3153	2761
H_BH-01555_A	3	5	2015	191.7	5	2020	131.1	3422	2730
H_BH-01555_A	3	5	2015	191.7	edge		0.0	3422	2730
I_BH-00730_A	3	8	2011	179.8	core			454	2781
I_BH-00730_A	3	8	2011	179.8	1	2012	491.2	1465	2872
I_BH-00730_A	3	8	2011	179.8	2	2013	393.6	2275	2945
I_BH-00730_A	3	8	2011	179.8	3	2014	146.7	2576	2972
I_BH-00730_A	3	8	2011	179.8	4	2015	147.6	2880	3000
I_BH-00730_A	3	8	2011	179.8	5	2016	123.8	3135	3023
I_BH-00730_A	3	8	2011	179.8	6	2017	132.9	3408	3047
I_BH-00730_A	3	8	2011	179.8	7	2018	87.6	3588	3064
I_BH-00730_A	3	8	2011	179.8	8	2019	97.7	3789	3082
I_BH-00730_A	3	8	2011	179.8	edge		77.0	3948	3096
J_BH-00385_A	3	5	2014	121.3	core			711	3362
J_BH-00385_A	3	5	2014	121.3	1	2015	432.7	1579	3149
J_BH-00385_A	3	5	2014	121.3	2	2016	239.5	2060	3031
J_BH-00385_A	3	5	2014	121.3	3	2017	273.8	2609	2896
J_BH-00385_A	3	5	2014	121.3	4	2018	184.6	2979	2805
J_BH-00385_A	3	5	2014	121.3	5	2019	131.5	3243	2740
J_BH-00385_A	3	5	2014	121.3	edge		94.2	3432	2694
