Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
01_BH-93143	3	3	2019	154.6	core			928	1460
01_BH-93143	3	3	2019	154.6	1	2020	374.0	1613	1817
01_BH-93143	3	3	2019	154.6	2	2021	309.3	2180	2112
01_BH-93143	3	3	2019	154.6	3	2022	414.7	2940	2508
01_BH-93143	3	3	2019	154.6	edge		-0.0	2940	2508
02_BH-93002	3	3	2019	172.8	core			568	1322
02_BH-93002	3	3	2019	172.8	1	2020	379.2	1285	1638
02_BH-93002	3	3	2019	172.8	2	2021	387.9	2018	1962
02_BH-93002	3	3	2019	172.8	3	2022	386.4	2748	2284
02_BH-93002	3	3	2019	172.8	edge		0.0	2748	2284
03_BH-92993	3	3	2019	133.4	core			663	1430
03_BH-92993	3	3	2019	133.4	1	2020	546.0	1703	1868
03_BH-92993	3	3	2019	133.4	2	2021	195.8	2075	2026
03_BH-92993	3	3	2019	133.4	3	2022	359.3	2759	2314
03_BH-92993	3	3	2019	133.4	edge		-0.0	2759	2314
05_BH-93005	3	3	2019	143.9	core			737	1640
05_BH-93005	3	3	2019	143.9	1	2020	484.5	1649	2052
05_BH-93005	3	3	2019	143.9	2	2021	250.8	2122	2265
05_BH-93005	3	3	2019	143.9	3	2022	315.1	2715	2532
05_BH-93005	3	3	2019	143.9	edge		0.0	2715	2532
06_BH-93116	3	2	2020	130.2	core			633	1699
06_BH-93116	3	2	2020	130.2	1	2021	597.5	1819	2040
06_BH-93116	3	2	2020	130.2	2	2022	292.1	2399	2207
06_BH-93116	3	2	2020	130.2	edge		-0.0	2399	2207
07_BH-93066	3	2	2020	135.2	core			473	941
07_BH-93066	3	2	2020	135.2	1	2021	471.8	1301	1455
07_BH-93066	3	2	2020	135.2	2	2022	267.1	1770	1746
07_BH-93066	3	2	2020	135.2	edge		-0.0	1770	1746
08_BH-93178	3	2	2020	175.7	core			714	1355
08_BH-93178	3	2	2020	175.7	1	2021	693.0	2122	1615
08_BH-93178	3	2	2020	175.7	2	2022	385.6	2906	1759
08_BH-93178	3	2	2020	175.7	edge		-0.0	2906	1759
09_BH-51614	3	9	2013	104.4	core			606	2563
09_BH-51614	3	9	2013	104.4	1	2014	328.8	1235	2821
09_BH-51614	3	9	2013	104.4	2	2015	198.4	1614	2977
09_BH-51614	3	9	2013	104.4	3	2016	300.4	2188	3213
09_BH-51614	3	9	2013	104.4	4	2017	217.1	2603	3383
09_BH-51614	3	9	2013	104.4	5	2018	150.2	2890	3501
09_BH-51614	3	9	2013	104.4	6	2019	153.3	3183	3621
09_BH-51614	3	9	2013	104.4	7	2020	140.1	3451	3731
09_BH-51614	3	9	2013	104.4	8	2021	123.0	3686	3828
09_BH-51614	3	9	2013	104.4	9	2022	137.3	3948	3935
09_BH-51614	3	9	2013	104.4	edge		0.0	3948	3935
10_BH-93003	3	10	2012	131.8	core			685	2823
10_BH-93003	3	10	2012	131.8	1	2013	339.6	1352	3043
10_BH-93003	3	10	2012	131.8	2	2014	268.8	1879	3217
10_BH-93003	3	10	2012	131.8	3	2015	165.3	2203	3324
10_BH-93003	3	10	2012	131.8	4	2016	172.2	2541	3435
10_BH-93003	3	10	2012	131.8	5	2017	159.1	2853	3538
10_BH-93003	3	10	2012	131.8	6	2018	170.9	3188	3649
10_BH-93003	3	10	2012	131.8	7	2019	153.5	3489	3748
10_BH-93003	3	10	2012	131.8	8	2020	125.7	3736	3830
10_BH-93003	3	10	2012	131.8	9	2021	79.9	3893	3882
10_BH-93003	3	10	2012	131.8	10	2022	81.3	4052	3934
10_BH-93003	3	10	2012	131.8	edge		-0.0	4052	3934
A_BH-93152	3	2	2020	315.8	core			303	1476
A_BH-93152	3	2	2020	315.8	1	2021	692.7	1616	2046
A_BH-93152	3	2	2020	315.8	2	2022	384.6	2345	2363
A_BH-93152	3	2	2020	315.8	edge		-0.0	2345	2363
B_BH-92996	3	2	2020	173.9	core			348	1486
B_BH-92996	3	2	2020	173.9	1	2021	901.0	2208	1551
B_BH-92996	3	2	2020	173.9	2	2022	474.0	3187	1586
B_BH-92996	3	2	2020	173.9	edge		0.0	3187	1586
C_BH-93172	3	3	2019	239.7	core			1212	1715
C_BH-93172	3	3	2019	239.7	1	2020	709.7	2623	2114
C_BH-93172	3	3	2019	239.7	2	2021	343.5	3306	2307
C_BH-93172	3	3	2019	239.7	3	2022	356.4	4015	2508
C_BH-93172	3	3	2019	239.7	edge		-0.0	4015	2508
D_BH-93015	3	2	2020	220.7	core			852	1740
D_BH-93015	3	2	2020	220.7	1	2021	609.6	1974	2313
D_BH-93015	3	2	2020	220.7	2	2022	301.3	2528	2596
D_BH-93015	3	2	2020	220.7	edge		-0.0	2528	2596
E_BH-91549	3	2	2020	152.1	core			796	1289
E_BH-91549	3	2	2020	152.1	1	2021	713.5	2131	1916
E_BH-91549	3	2	2020	152.1	2	2022	331.3	2750	2208
E_BH-91549	3	2	2020	152.1	edge		0.0	2750	2208
F_BH-91570	3	3	2019	215.9	core			605	1383
F_BH-91570	3	3	2019	215.9	1	2020	448.2	1471	1713
F_BH-91570	3	3	2019	215.9	2	2021	200.5	1858	1860
F_BH-91570	3	3	2019	215.9	3	2022	387.3	2606	2145
F_BH-91570	3	3	2019	215.9	edge		-0.0	2606	2145
G_BH-91588	3	4	2018	106.6	core			1023	1979
G_BH-91588	3	4	2018	106.6	1	2019	512.9	2041	2272
G_BH-91588	3	4	2018	106.6	2	2020	270.8	2579	2427
G_BH-91588	3	4	2018	106.6	3	2021	204.5	2985	2544
G_BH-91588	3	4	2018	106.6	4	2022	234.8	3451	2678
G_BH-91588	3	4	2018	106.6	edge		-0.0	3451	2678
H_BH-91585	3	6	2016	194.7	core			56	1967
H_BH-91585	3	6	2016	194.7	1	2017	427.9	907	2206
H_BH-91585	3	6	2016	194.7	2	2018	349.8	1602	2402
H_BH-91585	3	6	2016	194.7	3	2019	244.3	2088	2538
H_BH-91585	3	6	2016	194.7	4	2020	166.0	2419	2631
H_BH-91585	3	6	2016	194.7	5	2021	172.4	2762	2728
H_BH-91585	3	6	2016	194.7	6	2022	157.2	3074	2815
H_BH-91585	3	6	2016	194.7	edge		0.0	3074	2815
I_BH-93170	3	9	2013	112.5	core			256	3233
I_BH-93170	3	9	2013	112.5	1	2014	444.1	1152	3036
I_BH-93170	3	9	2013	112.5	2	2015	123.7	1402	2981
I_BH-93170	3	9	2013	112.5	3	2016	171.3	1748	2906
I_BH-93170	3	9	2013	112.5	4	2017	241.5	2235	2799
