"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-00355"	1	70	"m"	800	552	0.569	"9.7.2019"	"Peene"	3	1	5
"BH-00355"	1	70	"m"	800	552	0.6757	"9.7.2019"	"Peene"	3	2	5
"BH-00355"	1	70	"m"	800	552	0.8113	"9.7.2019"	"Peene"	3	3	5
"BH-00356"	1	71	"f"	3000	815	0.4603	"9.7.2019"	"Peene"	7	1	6
"BH-00356"	1	71	"f"	3000	815	0.6898	"9.7.2019"	"Peene"	7	2	6
"BH-00356"	1	71	"f"	3000	815	0.9593	"9.7.2019"	"Peene"	7	3	6
"BH-00356"	1	71	"f"	3000	815	1.1983	"9.7.2019"	"Peene"	7	4	6
"BH-00356"	1	71	"f"	3000	815	1.3665	"9.7.2019"	"Peene"	7	5	6
"BH-00356"	1	71	"f"	3000	815	1.4765	"9.7.2019"	"Peene"	7	6	6
"BH-00356"	1	71	"f"	3000	815	1.5448	"9.7.2019"	"Peene"	7	7	6
"BH-00391"	1	72	"f"	5220	903	0.5018	"11.7.2019"	"Barthe"	9	1	4
"BH-00391"	1	72	"f"	5220	903	0.6767	"11.7.2019"	"Barthe"	9	2	4
"BH-00391"	1	72	"f"	5220	903	0.9055	"11.7.2019"	"Barthe"	9	3	4
"BH-00391"	1	72	"f"	5220	903	1.0965	"11.7.2019"	"Barthe"	9	4	4
"BH-00391"	1	72	"f"	5220	903	1.2266	"11.7.2019"	"Barthe"	9	5	4
"BH-00391"	1	72	"f"	5220	903	1.3303	"11.7.2019"	"Barthe"	9	6	4
"BH-00391"	1	72	"f"	5220	903	1.4436	"11.7.2019"	"Barthe"	9	7	4
"BH-00391"	1	72	"f"	5220	903	1.5972	"11.7.2019"	"Barthe"	9	8	4
"BH-00391"	1	72	"f"	5220	903	1.7125	"11.7.2019"	"Barthe"	9	9	4
"BH-00392"	2	73	"f"	5600	930	0.6855	"11.7.2019"	"Barthe"	6	1	4
"BH-00392"	2	73	"f"	5600	930	0.9583	"11.7.2019"	"Barthe"	6	2	4
"BH-00392"	2	73	"f"	5600	930	1.1494	"11.7.2019"	"Barthe"	6	3	4
"BH-00392"	2	73	"f"	5600	930	1.3874	"11.7.2019"	"Barthe"	6	4	4
"BH-00392"	2	73	"f"	5600	930	1.5339	"11.7.2019"	"Barthe"	6	5	4
"BH-00392"	2	73	"f"	5600	930	1.609	"11.7.2019"	"Barthe"	6	6	4
"BH-00398"	3	74	"f"	2655	761	0.4189	"11.7.2019"	"Barthe"	6	1	4
"BH-00398"	3	74	"f"	2655	761	0.7454	"11.7.2019"	"Barthe"	6	2	4
"BH-00398"	3	74	"f"	2655	761	0.9164	"11.7.2019"	"Barthe"	6	3	4
"BH-00398"	3	74	"f"	2655	761	1.0429	"11.7.2019"	"Barthe"	6	4	4
"BH-00398"	3	74	"f"	2655	761	1.1527	"11.7.2019"	"Barthe"	6	5	4
"BH-00398"	3	74	"f"	2655	761	1.2516	"11.7.2019"	"Barthe"	6	6	4
"BH-00405"	2	75	"f"	715	466	0.3436	"11.7.2019"	"Barthe"	2	1	5
"BH-00405"	2	75	"f"	715	466	0.7273	"11.7.2019"	"Barthe"	2	2	5
"BH-00411"	4	76	"f"	1870	677	0.3051	"11.7.2019"	"Barthe"	3	1	4
"BH-00411"	4	76	"f"	1870	677	0.782	"11.7.2019"	"Barthe"	3	2	4
"BH-00411"	4	76	"f"	1870	677	1.0181	"11.7.2019"	"Barthe"	3	3	4
"BH-00418"	2	77	"f"	2450	758	0.335	"12.7.2019"	"Peene"	7	1	6
"BH-00418"	2	77	"f"	2450	758	0.5443	"12.7.2019"	"Peene"	7	2	6
"BH-00418"	2	77	"f"	2450	758	0.7035	"12.7.2019"	"Peene"	7	3	6
"BH-00418"	2	77	"f"	2450	758	0.8436	"12.7.2019"	"Peene"	7	4	6
"BH-00418"	2	77	"f"	2450	758	1.0028	"12.7.2019"	"Peene"	7	5	6
"BH-00418"	2	77	"f"	2450	758	1.2445	"12.7.2019"	"Peene"	7	6	6
"BH-00418"	2	77	"f"	2450	758	1.3846	"12.7.2019"	"Peene"	7	7	6
"BH-00419"	3	78	"f"	5780	958	0.4014	"12.7.2019"	"Peene"	10	1	6
"BH-00419"	3	78	"f"	5780	958	0.611	"12.7.2019"	"Peene"	10	2	6
"BH-00419"	3	78	"f"	5780	958	0.7912	"12.7.2019"	"Peene"	10	3	6
"BH-00419"	3	78	"f"	5780	958	0.9731	"12.7.2019"	"Peene"	10	4	6
"BH-00419"	3	78	"f"	5780	958	1.1342	"12.7.2019"	"Peene"	10	5	6
"BH-00419"	3	78	"f"	5780	958	1.2624	"12.7.2019"	"Peene"	10	6	6
"BH-00419"	3	78	"f"	5780	958	1.4182	"12.7.2019"	"Peene"	10	7	6
"BH-00419"	3	78	"f"	5780	958	1.5585	"12.7.2019"	"Peene"	10	8	6
"BH-00419"	3	78	"f"	5780	958	1.6884	"12.7.2019"	"Peene"	10	9	6
"BH-00419"	3	78	"f"	5780	958	1.7818	"12.7.2019"	"Peene"	10	10	6
"BH-00424"	4	79	"m"	508	425	0.3857	"12.7.2019"	"Peene"	3	1	6
"BH-00424"	4	79	"m"	508	425	0.5468	"12.7.2019"	"Peene"	3	2	6
"BH-00424"	4	79	"m"	508	425	0.7127	"12.7.2019"	"Peene"	3	3	6
"BH-00670"	1	1	"f"	NA	680	0.5141	"01.12.2019"	"KB"	4	1	2
"BH-00670"	1	1	"f"	NA	680	0.7936	"01.12.2019"	"KB"	4	2	2
"BH-00670"	1	1	"f"	NA	680	1.0892	"01.12.2019"	"KB"	4	3	2
"BH-00670"	1	1	"f"	NA	680	1.284	"01.12.2019"	"KB"	4	4	2
"BH-00681"	1	2	"m"	NA	630	0.477	"28.02.2020"	"WB"	2	1	3
"BH-00681"	1	2	"m"	NA	630	0.6007	"28.02.2020"	"WB"	2	2	3
"BH-00685"	2	3	"m"	NA	720	0.5699	"29.02.2020"	"WB"	2	1	3
"BH-00685"	2	3	"m"	NA	720	0.8626	"29.02.2020"	"WB"	2	2	3
"BH-00689"	1	4	"m"	NA	600	0.5599	"01.03.2020"	"WB"	1	1	1
"BH-00696"	2	5	"f"	NA	790	0.5814	"02.03.2020"	"WB"	3	1	1
"BH-00696"	2	5	"f"	NA	790	0.7313	"02.03.2020"	"WB"	3	2	1
"BH-00696"	2	5	"f"	NA	790	0.918	"02.03.2020"	"WB"	3	3	1
"BH-00732"	3	6	""	NA	617	0.6043	"14.12.2019"	"SB"	2	1	1
"BH-00732"	3	6	""	NA	617	0.7381	"14.12.2019"	"SB"	2	2	1
"BH-00742"	5	80	""	NA	550	0.4047	"8.11.2019"	"GB"	2	1	4
"BH-00742"	5	80	""	NA	550	0.7805	"8.11.2019"	"GB"	2	2	4
"BH-00750"	3	81	""	NA	560	0.6339	"8.11.2020"	"GB"	2	1	5
"BH-00750"	3	81	""	NA	560	0.7625	"8.11.2020"	"GB"	2	2	5
"BH-01556"	2	7	"f"	NA	1110	0.4665	"8.2.2020"	"BEG"	9	1	2
